Category,Feature,One-liner Explanation,,,,,,,,,,,
Category 1,Infinite Care,Get one-time infinite claim amount for your selected claim.,,,,,,,,,,,
Category 1,Limitless Care,Provides enhanced coverage without sub-limits.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 2,Consumables Cover,"Items like gloves, syringes, stents, implants, robotic surgery, etc. should be covered or reimbursed.",,,,,,,,,,,
Category 2,Claim Protector,Waives non-payable and consumable deductions during claims.,,,,,,,,,,,
Category 2,Safe Guard,"Claim Safeguard – Covers non-payable items during hospitalization.
Booster Benefit Safeguard – Full sum insured carried forward if claims are under ₹50,000.
Sum Insured Safeguard – Base sum insured increases annually for inflation.",,,,,,,,,,,
Category 2,Safe Guard + ,"Claim Safeguard+: All Non-payable items will be covered (as per list I, II, III, IV)
Booster+ Safeguard+: No impact on Booster+ if claim in a policy year is less than INR 1,00,000
Sum Insured Safeguard+: Inflation linked increase in Base Sum Insured",,,,,,,,,,,
,,,,,,,,,,,,,
Category 3,Inflation Protector,"Infllation Protector automatically increases your health cover every year, keeping you protected against rising medical costs",,,,,,,,,,,
Category 3,Sum Insured Protector,Protects base sum insured from reduction due to claims.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 4,Second E-opinion,Provides expert second medical opinion for major illnesses.,,,,,,,,,,,
Category 4,Teleconsultation,Provides doctor consultation via phone or video.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 5,Nursing at Home,Covers medical nursing care provided at home.,,,,,,,,,,,
Category 5,Home Care,Covers medically supervised treatment at home.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 6,Power Booster,Increases sum insured annually irrespective of claims.,,,,,,,,,,,
Category 6,Enhanced Cumulative Bonus,Provides higher cumulative bonus growth.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 7,Modern Treatment,Covers advanced medical treatments like robotic surgery.,,,,,,,,,,,
Category 7,Technological Advancements,Covers approved new-age medical technologies.,,,,,,,,,,,
Category 7,Robotic & Cyber Knife Surgery- **Modern Treatments,Covers robotic and cyberknife procedures.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 8,Medical Evacuation,Covers emergency transfer to nearest medical facility.,,,,,,,,,,,
Category 8,Emergency Medical Evacuation,Covers emergency evacuation expenses.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 9,Maternity Benefit,Covers pregnancy and childbirth expenses after waiting period.,,,,,,,,,,,
Category 9,M- Iracle,Maternity Benefit,,,,,,,,,,,
,,,,,,,,,,,,,
Category 10,Network Advantage,Provides enhanced benefits at preferred network hospitals.,,,,,,,,,,,
Category 10,Smart Select,Network zone providers,,,,,,,,,,,
Category 10,Discounts from Network Providers,Value added services,,,,,,,,,,,
Category 10,Rise Tiered Network,Differential benefits based on hospital network tier.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 11,Wellness Program,Rewards healthy activities through points or benefits.,,,,,,,,,,,
Category 11,Live Healthy,Value added services,,,,,,,,,,,
,,,,,,,,,,,,,
Category 12,Money Back,Returns part of premium or sum insured at intervals.,,,,,,,,,,,
Category 12,Cash Bag ,Value added services,,,,,,,,,,,
,,,,,,,,,,,,,
Category 13,Flexi Pay,Allows flexible premium payment options.,,,,,,,,,,,
Category 13,Instalment Premium Option,Allows premium payment in instalments.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 14,Coverage of Pre-Existing Diseases,Covers pre-existing diseases after 3 year  waiting period.,,,,,,,,,,,
Category 14,Long Waiting Period for Pre-Existing Diseases,Pre-existing conditions may remain uncovered for 3–4 years.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 15,Specific Illness Waiting Period ,Covers specific illness diseases after 2 year waiting period.,,,,,,,,,,,
Category 15,Specific Disease Waiting Periods,Common treatments like cataract or hernia may be excluded for 1–2 years.,,,,,,,,,,,
,,,,,,,,,,,,,
Category 16,Pre & Post Hospitalization,Covers medical expenses incurred before and after hospitalisation.,,,,,,,,,,,
Category 16,Pre-Hospitalization,Covers medical expenses before admission.,,,,,,,,,,,
Category 16,Post-Hospitalization,Covers medical expenses after discharge.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
