Sr No,Insurance Company,Base Plan Name,Infinite Care,No Sub-limits,Consumables Cover,Inflation Protector,No Claim Bonus,Restoration Benefit,In-patient Hospitalization,Pre-Hospitalization,Post-Hospitalization,Room Rent,ICU Charges,Day Care Treatment,No Claim Bonus,Restoration of Sum Insured,Pre-Existing Waiting Period,Domiciliary Treatment,AYUSH Treatment,Ambulance Cover,Donor Expenses,Health Check-Up,Air Ambulance,Second E-opinion,Claim Protector,Modern Treatments,Surplus/Secure Benefit,Bariatric Surgery,Specific Illness Waiting Period,Automatic Restoration
1,ICICI Lombard,Health AdvantEdge Plus,Not Applicable,No (Capped for <20L),Available (Rider),Available (Add-on),20% p.a. (Max 100%),Unlimited Reset Benefit,Covered up to Sum Insured,60 Days,180 Days,Single Private Room (<20L SI) / No Cap (>20L SI),Covered up to Sum Insured,All Procedures Covered,20% Increase p.a. (Max 100%),Unlimited Reset (Any Illness),36 Months,Covered up to SI,Covered up to Sum Insured,1% of SI (Max 10000),Covered up to SI,Annual up to 0.5% SI,Available up to SI,Unlimited consultations,Inbuilt for SI 15L+,Covered up to Sum Insured,Convalescence Benefit,Available,24 Months,Included
1,ICICI Lombard,Elevate (Basic),Not Applicable,Yes (All Rooms),Included,Available (Add-on),20% p.a. (Max 100%),Unlimited Infinite Reset,Covered up to Sum Insured,90 Days,180 Days,Single Private Room,Covered up to SI,All Procedures Covered,20% Increase p.a. (Max 100%),Unlimited Infinite Reset Benefit,Available Jumpstart (31 days),Covered up to SI,Covered up to Sum Insured,Covered up to SI,Covered up to SI,Annual Health Assessment,Available (Add-on),Included,Inbuilt (Non-payables),Covered up to Sum Insured,Infinite Claim Add-on,Included up to SI,24 Months,Included
1,ICICI Lombard,Elevate (Essential),Available (Add-on),Yes (No suite room),Included,Available (Add-on),20% p.a. (Max 100%),Unlimited Infinite Reset,Covered up to Sum Insured,90 Days,180 Days,Any room except suite,Covered up to SI,All Procedures Covered,20% Increase p.a. (Max 100%),Unlimited Infinite Reset Benefit,Available Jumpstart (31 days),Covered up to SI,Covered up to Sum Insured,Covered up to SI,Covered up to SI,Annual Health Assessment,Available (Add-on),Included,Inbuilt (Non-payables),Covered up to Sum Insured,Infinite Claim Add-on,Included up to SI,24 Months,Included
1,ICICI Lombard,Elevate (Recommended),Available (Add-on),Yes (No suite room),Included,Available (Add-on),20% p.a. (Max 100%),Unlimited Infinite Reset,Covered up to Sum Insured,90 Days,180 Days,Any room except suite,Covered up to SI,All Procedures Covered,20% Increase p.a. (Max 100%),Unlimited Infinite Reset Benefit,Available Jumpstart (31 days),Covered up to SI,Covered up to Sum Insured,Covered up to SI,Covered up to SI,Annual Health Assessment,Available (Add-on),Included,Inbuilt (Non-payables),Covered up to Sum Insured,Infinite Claim Add-on,Included up to SI,24 Months,Included
1,ICICI Lombard,Max Protect (Classic),Available,Yes (No suite room),Included,Available (Add-on),20% p.a. (Max 100%),Unlimited Reset Benefit,Covered up to Sum Insured,60 Days,180 Days,All rooms except suite,Covered (No limit),All Day Care Procedures,20% increase every year,Unlimited Reset (Any Illness),36 Months,Included (No limit),Included (No limit),Up to 10000 per hospitalization,Covered (No limit),NA,Not Available,Unlimited Teleconsultations,Not Inbuilt,Covered up to 1 Crore,No Surplus Benefit,Covered up to SI,24 Months,Included
1,ICICI Lombard,Max Protect (Premium),Available,Yes (No suite room),Included,Available (Add-on),20% p.a. (Max 100%),Unlimited Reset Benefit,Covered up to Sum Insured,60 Days,180 Days,All rooms except suite,Covered (No limit),All Day Care Procedures,20% increase every year,Unlimited Reset (Any Illness),36 Months,Included (No limit),Included (No limit),Up to 10000 per hospitalization,Covered (No limit),Annual up to 10000,Up to SI (Worldwide),Second opinion (Worldwide),Inbuilt Claim Protector,Covered up to 1 Crore,Homecare up to 1 Lakh,Covered up to SI,24 Months,Included
2,Niva Bupa,ReAssure,Not Applicable,Yes (All Rooms),Available (Safeguard),Available (Safeguard),50% p.a. (Max 100%),Unlimited ReAssure (Related/Unrelated),Covered up to Sum Insured,60 Days,180 Days,No Capping (All Rooms),Covered up to Sum Insured,All Day Care Procedures,50% Increase every year,Unlimited ReAssure,36 Months,Covered up to Sum Insured,Covered up to Sum Insured,Up to 2000 per Hosp.,Covered up to Sum Insured,Annual Day 1,Available as Add-on,Once per Hospitalization,Available (Add-on),Included (up to SI),Comple Coverage SI,Available up to SI,24 Months,Trigger after 1st claim
2,Niva Bupa,ReAssure 2.0 (Titanium+),Not Applicable,Yes (Any room),Included (Safeguard+),Included (Entry Age Lock),Entry Age LockPricing,ReAssure Forever (Unlimited),Covered up to Sum Insured,60 Days,180 Days,Any room (No capping),Actual ICU Charges,All Day Care included,Entry Age Lock (SI Lock),Unlimited Restoration (Forever),36 Months,Covered up to SI,Included up to Sum Insured,Road: Sum Insured / Air: 2.5 Lakhs,Covered up to SI,Annual Day 1,Available up to 2.5 Lakhs,Inbuilt consultations,Included Safeguard+,Included (Modern),Booster+ (10X carry forward),Included up to Sum Insured,24 Months,Unlimited
2,Niva Bupa,ReAssure 2.0 (Platinum+),Not Applicable,Yes (Any room),Included (Safeguard+),Included (Entry Age Lock),Entry Age LockPricing,ReAssure Forever (Unlimited),Covered up to Sum Insured,60 Days,180 Days,Any room (No capping),Actual ICU Charges,All Day Care included,Entry Age Lock (SI Lock),Unlimited Restoration (Forever),36 Months,Covered up to SI,Included up to Sum Insured,Road: Sum Insured / Air: 2.5 Lakhs,Covered up to SI,Annual Day 1,Available up to 2.5 Lakhs,Inbuilt consultations,Included Safeguard+,Included (Modern),Booster+ (10X carry forward),Included up to Sum Insured,24 Months,Unlimited
2,Niva Bupa,ReAssure 2.0 (Bronze+),Not Applicable,No (Shared Room),Included (Safeguard+),Included (CPI indexed),50% (Max 100%),Unlimited ReAssure (Bucket),Covered up to Sum Insured,60 Days,180 Days,Shared Accommodation,Covered up to SI,All Procedures included,50% Increase (Max 100%),Unlimited ReAssure Forever,36 Months,Covered up to Sum Insured,Included up to Sum Insured,Road: SI / Air: 2.5 Lakhs,Covered up to SI,Annual Day 1,Not Available,Inbuilt consultations,Included Safeguard+,Included,No Surplus,Included up to Sum Insured,24 Months,Included
